Sounder, Date (dd/MM/YYYY), Time (hh:mm:ss), Latitude (DD;MM;SS.sss H), Longitude  (DD;MM;SS.sss H),depth, Range (m),time,lat,lon,,
EA600-18kHz,10/9/22,10:34:56 AM,23;55;11.068 S,52;36;40.660 E,4774.3,4764.73,10/9/22 10:34:56 AM,-23.91974111,52.61129444,,
EA600-18kHz,10/9/22,10:35:10 AM,23;55;09.470 S,52;36;44.216 E,4771.25,4761.67,10/9/22 10:35:10 AM,-23.91929722,52.61228222,,
EA600-18kHz,10/9/22,10:35:23 AM,23;55;07.867 S,52;36;47.785 E,4764.84,4756.46,10/9/22 10:35:23 AM,-23.91885194,52.61327361,,
EA600-18kHz,10/9/22,10:35:37 AM,23;55;06.224 S,52;36;51.272 E,4736.15,4727.23,10/9/22 10:35:37 AM,-23.91839556,52.61424222,,
EA600-18kHz,10/9/22,10:36:03 AM,23;55;02.971 S,52;36;58.320 E,4726.94,4718.23,10/9/22 10:36:03 AM,-23.91749194,52.6162,,
EA600-18kHz,10/9/22,10:37:10 AM,23;54;54.865 S,52;37;15.918 E,4603.93,4594.83,10/9/22 10:37:10 AM,-23.91524028,52.62108833,,
EA600-18kHz,10/9/22,10:38:30 AM,23;54;45.207 S,52;37;36.934 E,4653.17,4644.17,10/9/22 10:38:30 AM,-23.9125575,52.62692611,,
EA600-18kHz,10/9/22,10:38:44 AM,23;54;43.594 S,52;37;40.457 E,4659.93,4650.87,10/9/22 10:38:44 AM,-23.91210944,52.62790472,,
EA600-18kHz,10/9/22,10:38:57 AM,23;54;41.974 S,52;37;43.957 E,4664.84,4656.15,10/9/22 10:38:57 AM,-23.91165944,52.62887694,,
EA600-18kHz,10/9/22,10:39:10 AM,23;54;40.417 S,52;37;47.473 E,4683.88,4674.76,10/9/22 10:39:10 AM,-23.91122694,52.62985361,,
EA600-18kHz,10/9/22,10:39:24 AM,23;54;38.790 S,52;37;50.940 E,4718.9,4709.92,10/9/22 10:39:24 AM,-23.910775,52.63081667,,
EA600-18kHz,10/9/22,10:39:50 AM,23;54;35.599 S,52;37;57.947 E,4866.39,4857.55,10/9/22 10:39:50 AM,-23.90988861,52.63276306,,
EA600-18kHz,10/9/22,10:40:04 AM,23;54;33.951 S,52;38;01.394 E,4934.2,4925.56,10/9/22 10:40:04 AM,-23.90943083,52.63372056,,
EA600-18kHz,10/9/22,10:40:17 AM,23;54;32.340 S,52;38;04.911 E,4943.52,4934.65,10/9/22 10:40:17 AM,-23.90898333,52.6346975,,
EA600-18kHz,10/9/22,10:40:30 AM,23;54;30.724 S,52;38;08.401 E,4947.86,4938.69,10/9/22 10:40:30 AM,-23.90853444,52.63566694,,
EA600-18kHz,10/9/22,10:40:44 AM,23;54;29.068 S,52;38;11.892 E,4940.89,4932.34,10/9/22 10:40:44 AM,-23.90807444,52.63663667,,
EA600-18kHz,10/9/22,10:40:57 AM,23;54;27.473 S,52;38;15.392 E,4940.89,4932.24,10/9/22 10:40:57 AM,-23.90763139,52.63760889,,
EA600-18kHz,10/9/22,10:41:10 AM,23;54;25.869 S,52;38;18.949 E,4934.86,4926.11,10/9/22 10:41:10 AM,-23.90718583,52.63859694,,
EA600-18kHz,10/9/22,10:41:24 AM,23;54;24.242 S,52;38;22.431 E,4907.66,4898.64,10/9/22 10:41:24 AM,-23.90673389,52.63956417,,
EA600-18kHz,10/9/22,10:41:37 AM,23;54;22.617 S,52;38;25.942 E,4904.95,4895.82,10/9/22 10:41:37 AM,-23.9062825,52.64053944,,
EA600-18kHz,10/9/22,10:41:50 AM,23;54;21.019 S,52;38;29.480 E,4902.84,4893.63,10/9/22 10:41:50 AM,-23.90583861,52.64152222,,
EA600-18kHz,10/9/22,10:42:04 AM,23;54;19.385 S,52;38;32.988 E,4900.92,4891.7,10/9/22 10:42:04 AM,-23.90538472,52.64249667,,
EA600-18kHz,10/9/22,10:42:17 AM,23;54;17.764 S,52;38;36.519 E,4884.03,4875.08,10/9/22 10:42:17 AM,-23.90493444,52.6434775,,
