sounder,date (dd/mm/yyyy),time (hh:mm:ss),latitude (dd;mm;ss.sss h),longitude  (dd;mm;ss.sss h),depth,range (m),time,lat,lon,unnamed: 10,unnamed: 11,unique_id,platform_name,raster_val,has_reference,tid_value,transit_id,outlier,outlier_reason
EA600-18kHz,10/9/22,10:35:23 AM,23;55;07.867 S,52;36;47.785 E,-4764.84,4756.46,2022-09-10 10:35:23,-23.91885194,52.61327361,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:35:37 AM,23;55;06.224 S,52;36;51.272 E,-4736.15,4727.23,2022-09-10 10:35:37,-23.91839556,52.61424222,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:36:03 AM,23;55;02.971 S,52;36;58.320 E,-4726.94,4718.23,2022-09-10 10:36:03,-23.91749194,52.6162,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:38:30 AM,23;54;45.207 S,52;37;36.934 E,-4653.17,4644.17,2022-09-10 10:38:30,-23.9125575,52.62692611,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:38:44 AM,23;54;43.594 S,52;37;40.457 E,-4659.93,4650.87,2022-09-10 10:38:44,-23.91210944,52.62790472,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:38:57 AM,23;54;41.974 S,52;37;43.957 E,-4664.84,4656.15,2022-09-10 10:38:57,-23.91165944,52.62887694,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:39:10 AM,23;54;40.417 S,52;37;47.473 E,-4683.88,4674.76,2022-09-10 10:39:10,-23.91122694,52.62985361,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:39:24 AM,23;54;38.790 S,52;37;50.940 E,-4718.9,4709.92,2022-09-10 10:39:24,-23.910775,52.63081667,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:39:50 AM,23;54;35.599 S,52;37;57.947 E,-4866.39,4857.55,2022-09-10 10:39:50,-23.90988861,52.63276306,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:40:04 AM,23;54;33.951 S,52;38;01.394 E,-4934.2,4925.56,2022-09-10 10:40:04,-23.90943083,52.63372056,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:40:17 AM,23;54;32.340 S,52;38;04.911 E,-4943.52,4934.65,2022-09-10 10:40:17,-23.90898333,52.6346975,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:40:30 AM,23;54;30.724 S,52;38;08.401 E,-4947.86,4938.69,2022-09-10 10:40:30,-23.90853444,52.63566694,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:40:44 AM,23;54;29.068 S,52;38;11.892 E,-4940.89,4932.34,2022-09-10 10:40:44,-23.90807444,52.63663667,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:40:57 AM,23;54;27.473 S,52;38;15.392 E,-4940.89,4932.24,2022-09-10 10:40:57,-23.90763139,52.63760889,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:41:10 AM,23;54;25.869 S,52;38;18.949 E,-4934.86,4926.11,2022-09-10 10:41:10,-23.90718583,52.63859694,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:41:24 AM,23;54;24.242 S,52;38;22.431 E,-4907.66,4898.64,2022-09-10 10:41:24,-23.90673389,52.63956417,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:41:37 AM,23;54;22.617 S,52;38;25.942 E,-4904.95,4895.82,2022-09-10 10:41:37,-23.9062825,52.64053944,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:41:50 AM,23;54;21.019 S,52;38;29.480 E,-4902.84,4893.63,2022-09-10 10:41:50,-23.90583861,52.64152222,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:42:04 AM,23;54;19.385 S,52;38;32.988 E,-4900.92,4891.7,2022-09-10 10:42:04,-23.90538472,52.64249667,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:42:17 AM,23;54;17.764 S,52;38;36.519 E,-4884.03,4875.08,2022-09-10 10:42:17,-23.90493444,52.6434775,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:42:31 AM,23;54;16.129 S,52;38;40.040 E,-4883.22,4874.23,2022-09-10 10:42:31,-23.90448028,52.64445556,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:42:44 AM,23;54;14.522 S,52;38;43.553 E,-4863.03,4854.36,2022-09-10 10:42:44,-23.90403389,52.64543139,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:42:57 AM,23;54;12.901 S,52;38;47.066 E,-4878.97,4870.01,2022-09-10 10:42:57,-23.90358361,52.64640722,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:43:11 AM,23;54;11.294 S,52;38;50.606 E,-4858.0,4849.11,2022-09-10 10:43:11,-23.90313722,52.64739056,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:43:37 AM,23;54;08.028 S,52;38;57.623 E,-4850.31,4840.98,2022-09-10 10:43:37,-23.90223,52.64933972,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:43:51 AM,23;54;06.400 S,52;39;01.161 E,-4843.86,4834.45,2022-09-10 10:43:51,-23.90177778,52.6503225,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:44:17 AM,23;54;03.194 S,52;39;08.168 E,-4817.12,4807.85,2022-09-10 10:44:17,-23.90088722,52.65226889,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:44:31 AM,23;54;01.572 S,52;39;11.676 E,-4816.03,4807.1,2022-09-10 10:44:31,-23.90043667,52.65324333,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:44:44 AM,23;53;59.954 S,52;39;15.162 E,-4813.13,4803.63,2022-09-10 10:44:44,-23.89998722,52.65421167,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:44:58 AM,23;53;58.340 S,52;39;18.700 E,-4813.5,4805.12,2022-09-10 10:44:58,-23.89953889,52.65519444,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:45:11 AM,23;53;56.683 S,52;39;22.192 E,-4809.92,4800.93,2022-09-10 10:45:11,-23.89907861,52.65616444,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:45:24 AM,23;53;55.042 S,52;39;25.653 E,-4808.99,4799.92,2022-09-10 10:45:24,-23.89862278,52.65712583,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:45:38 AM,23;53;53.448 S,52;39;29.158 E,-4809.12,4800.15,2022-09-10 10:45:38,-23.89818,52.65809944,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:48:05 AM,23;53;35.820 S,52;40;07.433 E,-4774.96,4766.38,2022-09-10 10:48:05,-23.89328333,52.66873139,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:48:58 AM,23;53;29.403 S,52;40;21.148 E,-4765.19,4755.99,2022-09-10 10:48:58,-23.89150083,52.67254111,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:49:25 AM,23;53;26.249 S,52;40;28.042 E,-4730.06,4720.84,2022-09-10 10:49:25,-23.89062472,52.67445611,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:49:38 AM,23;53;24.625 S,52;40;31.468 E,-4729.1,4720.16,2022-09-10 10:49:38,-23.89017361,52.67540778,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:50:18 AM,23;53;19.837 S,52;40;41.752 E,-4743.5,4734.31,2022-09-10 10:50:18,-23.88884361,52.67826444,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:50:45 AM,23;53;16.721 S,52;40;48.674 E,-4710.83,4702.02,2022-09-10 10:50:45,-23.88797806,52.68018722,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:50:58 AM,23;53;15.142 S,52;40;52.053 E,-4716.96,4707.41,2022-09-10 10:50:58,-23.88753944,52.68112583,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:51:12 AM,23;53;13.563 S,52;40;55.500 E,-4693.13,4683.8,2022-09-10 10:51:12,-23.88710083,52.68208333,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:51:25 AM,23;53;11.975 S,52;40;58.923 E,-4693.08,4684.11,2022-09-10 10:51:25,-23.88665972,52.68303417,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:52:05 AM,23;53;07.205 S,52;41;09.237 E,-4701.66,4692.77,2022-09-10 10:52:05,-23.88533472,52.68589917,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:52:19 AM,23;53;05.573 S,52;41;12.628 E,-4694.94,4686.33,2022-09-10 10:52:19,-23.88488139,52.68684111,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:52:32 AM,23;53;04.025 S,52;41;16.073 E,-4689.31,4679.98,2022-09-10 10:52:32,-23.88445139,52.68779806,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:52:45 AM,23;53;02.371 S,52;41;19.465 E,-4680.77,4671.72,2022-09-10 10:52:45,-23.88399194,52.68874028,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:52:59 AM,23;53;00.745 S,52;41;22.846 E,-4658.44,4649.32,2022-09-10 10:52:59,-23.88354028,52.68967944,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:54:06 AM,23;52;52.737 S,52;41;40.034 E,-4551.74,4543.07,2022-09-10 10:54:06,-23.88131583,52.69445389,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:54:19 AM,23;52;51.146 S,52;41;43.426 E,-4537.24,4528.06,2022-09-10 10:54:19,-23.88087389,52.69539611,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
